=(#Код #Наименование#Вал,Кол,Заб,Акт,Субконто 1,Субконто 2,Субконто 3)
,,"    На субсчете 1122 ""Малоценные необоротные материальные активы (количественно)"" ведется групповой учет наличия и движениямалоценных необоротных материальных активов, амортизацию которых начисляют в первом месяце использования в размере 100% их стоимости, с обеспечением информации об общем количестве и общей стоимости объектов.",,,,,,,
,113,Тимчасові (нетитульні) споруди,,,,А,Основні засоби,,
,,"    На субсчете 113 ""Временные (нетитульные) сооружения"" ведется учет эксплуатационных временных (нетитульных) сооружений. ",,,,,,,
,114,Природні ресурси,,,,А,Основні засоби,,
,,"    На субсчете 114 ""Природные ресурсы"" ведется учет наличия и движения приобретенных природных ресурсов для последующей добычи (нефти, газа и т.п.).",,,,,,,
,115,Інвентарна тара,,,,А,Основні засоби,,
,,"    На субсчете 115 ""Инвентарная тара"" ведется учет наличия и движения инвентарной тары.",,,,,,,
,116,Предмети прокату,,,,А,Основні засоби,,
,,"    На субсчете 116 ""Предметы проката"" ведется учет наличия и движения активов, предназначенных для выдачи напрокат.",,,,,,,
,117,Інші необоротні матеріальні активи,,,,А,Основні засоби,,
,,"    На субсчете 117 ""Другие необоротные материальные активы"" ведется учет наличия и движения других необоротных  материальных активов, которые не нашли отображения на других субсчетах счета 11 ""Прочие необоротные материальные активы"". На этом субсчете, в частности, отображается стоимость сценически-постановочных предметов, стоимость завершенных капитальных инвестиций в объекты операционной аренды (модернизация, модификация, достройка, дооборудование, реконструкция и т.п.).",,,,,,,
,1171,Інші необоротні матеріальні активи,,,,А,Основні засоби,,
,,"    На субсчете 1171 ""Другие необоротные материальные активы"" ведется учет наличия и движения других необоротных материальных активов, которые не нашли отображения на других субсчетах счета 11 ""Другие необоротные материальные активы"", предназначенных для продажи. На этом субсчете, в частности, отображается стоимость сценически-постановочных предметов, стоимость завершенных капитальных инвестиций в объекты операционной аренды (модернизация, модификация, достройка, дооборудование, реконструкция и т.п.).",,,,,,,
,1172,Необоротні матеріальні активи призначені для продажу,,,,А,Основні засоби,,
,,"    Субсчет 1172 ""Необоротные материальные активы предназначенные для продажи"" в настоящее время не используется.",,,,,,,
,12,Нематеріальні активи,,,,А,Нематеріальні активи,,
,,"    Счет 12 ""Нематериальные активы"" предназначен для учета и обобщения информации о наличии и движении нематериальных активов. К нематериальным активам принадлежат немонетарные активы, которые не имеют материальной формы, могут быть идентифицированы и содержатся предприятием с целью использования на протяжении периода больше одного года (или одного операционного цикла, если он превышает 1 год) для производства, торговли, административных нужд или предоставления в аренду другим лицам.",,,,,,,
,121,Права користування природними ресурсами,,,,А,Нематеріальні активи,,
,,"    На субсчете 121 ""Права пользования природными ресурсами"" ведется учет наличия объектов права пользования ресурсами естественной среды. К ним принадлежат: права пользования недрами, другими ресурсами естественной среды, геологической и другой информацией о естественной среде.",,,,,,,
,122,Права користування майном,,,,А,Нематеріальні активи,,
,,"    На субсчете 122 ""Права пользования имуществом"" ведется учет наличия прав пользования имуществом (право пользования земельным участком, право пользования зданием, право на аренду помещений и т.п.).",,,,,,,
,123,Права на комерційні позначення,,,,А,Нематеріальні активи,,
,,"    На субсчете 123 ""Права на коммерческие обозначения"" ведется учет наличия прав на коммерческие обозначения (права на торговые марки (знаки для товаров и услуг), коммерческие (фирменные) наименования и т.п.).",,,,,,,
,124,Права на об’єкти промислової власності,,,,А,Нематеріальні активи,,
,,"    На субсчете 124 ""Права на объекты промышленной собственности"" ведется учет наличия прав на объекты промышленной собственности (право на изобретения, полезные модели, промышленные образцы, сорта растений, породы животных, компоновку (топографии) интегральных микросхем, коммерческие тайны, в том числе ноу-хау, и т.п.).",,,,,,,
,125,Авторське право та суміжні з ним права,,,,А,Нематеріальні активи,,
,,"    На субсчете 125 ""Авторское право и смежные с ним права "" ведется учет наличия авторского права и смежных с ним прав (право на литературные, художественные, музыкальные произведения, компьютерные программы, компиляции данных (базы данных), выполнение, фонограммы, видеограммы, передачи (программы) организаций вещания и т.п.).",,,,,,,
,127,Інші нематеріальні активи,,,,А,Нематеріальні активи,,
,,"    На субсчете 127 ""Другие нематериальные активы"" ведется учет других нематериальных активов, которыми владеет предприятие (права на осуществление деятельности, использование экономических и других преимуществ и т.п.).",,,,,,,
,13,Знос (амортизацiя) необоротних активів,,,,П,,,
,,"    Счет 13 ""Износ (амортизация) необоротных активов"" предназначен для обобщения информации о начисленной амортизации и индексации износа (накопленной амортизации) необоротных материальных и нематериальных активов, подлежащих амортизации.",,,,,,,
,131,Знос основних засобів,,,,П,Основні засоби,,
,,"    На субсчете 131 ""Износ основных средств"" обобщается информация о сумме износа тех необоротных активов, учет которых ведется на счете 10 ""Основные средства"".",,,,,,,
,132,Знос інших необоротних матеріальних активів,,,,П,Основні засоби,,
,,"    На субсчете 132 ""Износ других необоротных материальных активов"" обобщается информация о сумме износа тех необоротных активов, учет которых ведется на счете 11 ""Другие необоротные материальные активы"".",,,,,,,
,1321,Знос інших необоротних матеріальних активів (по кожному об'єкту),,,,П,Основні засоби,,
,,"    На субсчете 1321 ""Износ других необоротных материальных активов (по каждому объекту)"" обобщается информация о сумме износа тех необоротных активов, для которых ведется пообъектный учет на счете 11 ""Прочие необоротные материальные активы"".",,,,,,,
,1322,Знос інших необоротних матеріальних активів (кількісно),,,,П,Номенклатура,,
,,"    На субсчете 1322 ""Износ других необоротных материальных активов (количественно)"" обобщается информация о сумме износа библиотечных фондов и малоценных необоротных материальных активов, для которых ведется групповой учет, начисленного в первом месяце использования в размере 100% их стоимости.",,,,,,,
,133,Накопичена амортизацiя нематеріальних активів,,,,П,Нематеріальні активи,,
,,"    На субсчете 133 ""Накопленная амортизация нематериальных активов"" обобщается информация о сумме накопленной амортизации нематериальных активов.",,,,,,,
,134,Накопичена амортизація довгострокових біологічних активів,,,,П,,,
,,"    На субсчете 134 ""Накопленная амортизация долгосрочных биологических активов"" обобщается информация о сумме амортизации, начисленной на долгосрочные биологические активы, учет которых ведется на субсчетах 162 ""Долгосрочные биологические активы растениеводства, которые оценены по первоначальной стоимости"" и 164 ""Долгосрочные биологические активы животноводства, которые оценены по первоначальной стоимости"".",,,,,,,
,135,Знос інвестиційної нерухомості,,,,П,Основні засоби,,
,,"    На субсчете 135  ""Износ инвестиционной недвижимости"" обобщается информация о сумме  амортизации инвестиционной недвижимости.",,,,,,,
,14,Довгострокові фінансові інвестиції,,,,А,Фінансові інвестиції,,
,,"    Счет 14 ""Долгосрочные финансовые инвестиции"" предназначен для обобщения информации о наличии и движении долгосрочных инвестиций (вложений) в ценные бумаги других предприятий, облигации государственных и местных займов, уставный капитал других предприятий, созданных на территории страны и за границей, и т.п.",,,,,,,
,141,Інвестиції пов’язаним сторонам за методом обліку участі в капіталі,,,,А,Фінансові інвестиції,,
,,    На субсчете 141 «Инвестиции связанным сторонам по методу учета участия в капитале» обобщается информация о наличии и движении долгосрочных инвестиций (вложений) связанным сторонам по методу учета участия в капитале.,,,,,,,
,142,Інші інвестиції пов’язаним сторонам,,,,А,Фінансові інвестиції,,
,,    На субсчете 142 «Другие инвестиции связанным сторонам» обобщается информация о наличии и движении других долгосрочных инвестиций (вложений) связанным сторонам.,,,,,,,
,143,Інвестиції непов’язаним сторонам,,,,А,Фінансові інвестиції,,
,,    На субсчете 143 «Инвестиции несвязанным сторонам» обобщается информация о наличии и движении долгосрочных инвестиций (вложений) несвязанным сторонам.,,,,,,,
,15,Капітальні інвестиції,,,,А,,,
,,"    Счет 15 ""Капитальные инвестиции"" предназначен для учета затрат на приобретение или создание материальных и нематериальных необоротных активов.",,,,,,,
,151,Капітальне будівництво,,,,А,Об'єкти будівництва,(об) Статті витрат,
,,"    На субсчете 151 ""Капитальное строительство"" отображаются затраты на строительство, осуществляемое как хозяйственным, так и подрядным способом для собственных нужд предприятия. На этом субсчете также ведется учет оборудования, которое подлежит монтажу в процессе строительства, и авансовые платежи для финансирования указанного строительства.",,,,,,,
,152,Придбання (виготовлення) основних засобів,,,,А,,,
,,"    Субсчет 152 ""Приобретение (изготовление) основных средств"" предназначенный для учета затрат на приобретение или изготовление собственными силами материальных активов, учет которых ведется на счете 10 ""Основные средства"" (кроме объектов строительства и основного стада).",,,,,,,
,1521,Придбання основних засобів,,+,,А,Номенклатура,Склади,Партії
,,"    Субсчет 1521 ""Приобретение основных средств"" предназначен для учета затрат на приобретение материальных активов, учет которых ведется на счете 10 ""Основные средства"" (кроме объектов строительства и основного стада).",,,,,,,
,1522,Виготовлення та модернізація основних засобів,,,,А,Об'єкти будівництва,(об) Статті витрат,
,,"    Субсчет 1522 ""Изготовление и модернизация основных средств"" предназначен для учета затрат на изготовление собственными силами материальных активов и модернизацию основных средств, учет которых ведется на счете 10 ""Основные средства"" (кроме объектов строительства и основного стада).",,,,,,,
,153,Придбання (виготовлення) інших необоротних матеріальних активів,,,,А,,,
,,"    На субсчете 153 ""Приобретение (изготовление) других необоротных материальных активов"" отображаются затраты предприятия (организации, учреждения) на приобретение или изготовление собственными силами материальных активов, учет которых ведется на счете 11 ""Другие необоротные материальные активы"".",,,,,,,
,1531,Придбання  інших необоротних матеріальних активів,,+,,А,Номенклатура,Склади,Партії
,,"    На субсчете 1531 ""Приобретение  других необоротных материальных активов"" отображаются затраты предприятия (организации, учреждения) на приобретение материальных активов, учет которых ведется на счете 11 ""Другие необоротные материальные активы"".",,,,,,,
,1532,Виготовлення та модернізація інших необоротних матеріальних активів,,,,А,Об'єкти будівництва,(об) Статті витрат,
,,"    На субсчете 1532 ""Изготовление и модернизация других необоротных материальных активов"" отображаются затраты предприятия (организации, учреждения) на изготовление собственными силами и модернизацию материальных активов, учет которых ведется на счете 11 ""Прочие необоротные материальные активы"".",,,,,,,
,154,Придбання (виготовлення) нематеріальних активів,,,,А,Нематеріальні активи,,
,,"    На субсчете 154 ""Приобретение (создание) нематериальных активов"" отображаются затраты предприятия на приобретение или создание собственными силами активов, учет которых ведется на счете 12 ""Нематериальные активы"".",,,,,,,
,1541,Придбання нематеріальних активів,,,,А,Нематеріальні активи,,
,,"    На субсчете 1541 ""Приобретение нематериальных активов"" отображаются затраты предприятия на приобретение активов, учет которых ведется на счете 12 ""Нематериальные активы"".",,,,,,,
,1542,Виготовлення нематеріальних активів,,,,А,Об'єкти будівництва,(об) Статті витрат,
,,"    На субсчете 1542 ""Изготовление нематериальных активов"" отображаются затраты предприятия на создание собственными силами активов, учет которых ведется на счете 12 ""Нематериальные активы"".",,,,,,,
,155,Придбання (вирощування) довгострокових біологічних активів,,,,А,Біологічні активи,,
,,"    На субсчете 155 ""Приобретение (выращивание) долгосрочных биологических активов"" ведется учет затрат на приобретение или выращивание (создание) долгосрочных биологических активов, учет которых ведется на счете 16 ""Долгосрочные биологические активы"", в том числе на выращивание незрелых долгосрочных биологических активов и формирование основного стада рабочего и продуктивного скота (кроме животных, которые учитываются на счете 21 ""Текущие биологические активы"").",,,,,,,
,16,Довгострокові біологічні активи,,,,А,Біологічні активи,,
,,"    Счет 16 ""Долгосрочные биологические активы"" предназначен для учета и обобщение информации о наличии и движении собственных или полученных на условиях финансовой аренды долгосрочных биологических активов.",,,,,,,
,161,"Довгострокові біологічні активи рослинництва, які оцінені за справедливою вартістю",,,,А,Біологічні активи,,
,,"    На субсчете 161 "" Долгосрочные биологические активы растениеводства, оцениваемые по справедливой стоимости"" ведется учет наличия и движения долгосрочных биологических активов растениеводства, которые оценены по справедливой стоимости, уменьшенной на ожидаемые затраты в месте продажи. Аналитический учет ведется по видам долгосрочных биологических активов растениеводства.",,,,,,,
,162,"Довгострокові біологічні активи рослинництва, які оцінені за первісною вартістю",,,,А,Біологічні активи,,
,,"    На субсчете 162 "" Долгосрочные биологические активы растениеводства, оцениваемые по первоначальной стоимости"" ведется учет наличия и движения долгосрочных биологических активов растениеводства, справедливую стоимость которых достоверно определить невозможно, вследствие чего их оценка осуществлена в соответствии с  положениями (стандартами) бухгалтерского учета 7 ""Основные средства"" и 28 ""Уменьшение полезности активов"". Аналитический учет ведется по видам таких долгосрочных биологических активов растениеводства.",,,,,,,
,163,"Довгострокові біологічні активи тваринництва, які оцінені за справедливою вартістю",,,,А,Біологічні активи,,
,,"На субсчете 163 "" Долгосрочные биологические активы животноводства, оцениваемые по справедливой стоимости"" ведется учет наличия и движения долгосрочных биологических активов животноводства, которые оценены по справедливой стоимости, уменьшенной на ожидаемые затраты на месте продажи. Аналитический учет ведется по видам долгосрочных биологических активов животноводства.",,,,,,,
,164,"Довгострокові біологічні активи тваринництва, які оцінені за первісною вартістю",,,,А,Біологічні активи,,
,,"    На субсчете 164 ""Долгосрочные биологические активы животноводства, оцениваемые по первоначальной стоимости"" ведется учет наличия и движения долгосрочных биологических активов животноводства, справедливую стоимость которых достоверно определить невозможно, вследствие чего их оценка осуществлена в соответствии с  положениями (стандартами) бухгалтерского учета 7 ""Основные средства"" и 28 ""Уменьшение полезности активов"". Аналитический учет ведется по видам таких долгосрочных биологических активов животноводства.",,,,,,,
,165,"Незрілі довгострокові біологічні активи, які оцінюються за справедливою вартістю",,,,А,Біологічні активи,,
,,"    На субсчете 165 "" Незрелые долгосрочные биологические активы, оцениваемые по справедливой стоимости "" ведется учет наличия и движение незрелых долгосрочных биологических активов (кроме животных, которые учитываются на счете 21 ""Текущие биологические активы""), которые оценены по справедливой стоимости, уменьшенной на ожидаемые затраты в месте продажи. Аналитический учет ведется по видам таких незрелых долгосрочных биологических активов.",,,,,,,
,166,"Незрілі довгострокові біологічні активи, які оцінюються за первісною вартістю",,,,А,Біологічні активи,,
,,"    На субсчете 166 "" Незрелые долгосрочные биологические активы, оцениваемые по первоначальной стоимости"" ведется учет незрелых долгосрочных биологических активов (кроме животных, которые учитываются на счете 21 ""Текущие биологические активы""), справедливую стоимость которых достоверно определить невозможно, вследствие чего они оцениваются, исходя из суммы затрат, признанных при их выращивании. Аналитический учет ведется по видам таких незрелых долгосрочных биологических активов.",,,,,,,
,17,Відстрочені податкові активи,,,,А,Види податкової діяльності,Статті відстрочених податк. активів і зобов'язань,
,,"    На счету 17 ""Отсроченные налоговые активы"" ведется учет суммы налогов на прибыль, которая подлежит возмещению в следующих отчетных периодах вследствие: временные разниц между балансовой стоимостью активов или обязательств и оценкой этих активов или обязательств, которая используется с целью налогообложения; перенесения налоговых убытков, не использованных для уменьшения налога на прибыль в отчетном периоде.",,,,,,,
